source	target
60	2
61	2
62	1
63	2
64	1
65	1
66	2
67	1
68	0
69	1
70	0
71	2
72	0
73	2
74	1
75	2
76	2
77	0
78	0
79	0
80	0
81	0
82	1
83	2
84	1
85	2
86	1
87	2
88	1
89	1
90	0
91	2
92	1
93	2
94	0
95	0
96	1
97	2
98	1
99	1
100	1
101	0
102	2
103	2
104	2
105	1
106	0
107	2
108	2
109	2
110	0
111	2
112	1
113	1
114	1
115	0
116	2
117	2
118	1
119	1
120	1
121	0
122	2
123	0
124	2
125	2
126	0
127	0
128	2
129	2
130	0
131	2
132	0
133	0
134	1
135	2
136	0
137	2
138	1
139	0
140	1
141	0
142	0
143	2
144	2
145	2
146	2
147	1
148	2
149	2
150	1
151	0
152	2
153	0
154	1
155	0
156	2
157	1
158	1
159	1
160	1
161	1
162	2
163	2
164	1
165	1
166	1
167	2
168	1
169	0
170	1
171	1
172	1
173	0
174	0
175	2
176	2
177	2
178	1
179	2
180	1
181	2
182	1
183	1
184	1
185	1
186	2
187	2
188	1
189	2
190	2
191	1
192	2
193	1
194	0
195	2
196	1
197	1
198	2
199	2
200	2
201	2
202	1
203	1
204	1
205	2
206	0
207	0
208	2
209	2
210	2
211	2
212	1
213	2
214	1
215	1
216	1
217	1
218	2
219	1
220	2
221	1
222	1
223	0
224	2
225	2
226	2
227	2
228	2
229	2
230	0
231	1
232	1
233	0
234	0
235	1
236	2
237	2
238	2
239	2
240	0
241	1
242	2
243	1
244	0
245	1
246	2
247	2
248	0
249	2
250	1
251	2
252	0
253	1
254	1
255	0
256	2
257	0
258	2
259	2
260	2
261	0
262	0
263	1
264	2
265	2
266	1
267	1
268	2
269	0
270	2
271	2
272	2
273	1
274	2
275	1
276	1
277	1
278	2
279	1
280	1
281	2
282	2
283	2
284	1
285	0
286	2
287	2
288	2
289	2
290	1
291	1
292	2
293	2
294	2
295	2
296	0
297	0
298	2
299	1
300	1
301	0
302	1
303	2
304	1
305	0
306	2
307	1
308	2
309	0
310	1
311	2
312	2
313	1
314	1
315	2
316	2
317	2
318	0
319	1
320	2
321	1
322	2
323	0
324	1
325	1
326	2
327	1
328	0
329	1
330	2
331	2
332	1
333	2
334	0
335	1
336	2
337	2
338	2
339	2
340	1
341	2
342	2
343	2
344	2
345	2
346	1
347	1
348	2
349	2
350	1
351	1
352	1
353	2
354	1
355	1
356	1
357	1
358	2
359	1
360	1
361	2
362	2
363	0
364	0
365	2
366	1
367	2
368	2
369	1
370	1
371	1
372	0
373	1
374	2
375	2
376	1
377	1
378	2
379	1
380	1
381	1
382	2
383	0
384	1
385	0
386	2
387	2
388	2
389	1
390	2
391	1
392	1
393	1
394	1
395	2
396	2
397	1
398	0
399	1
400	1
401	1
402	2
403	1
404	1
405	1
406	0
407	1
408	1
409	0
410	2
411	1
412	2
413	0
414	1
415	0
416	1
417	1
418	2
419	2
420	2
421	2
422	2
423	1
424	2
425	1
426	1
427	2
428	1
429	0
430	1
431	1
432	1
433	1
434	1
435	1
436	2
437	0
438	1
439	1
440	1
441	2
442	2
443	2
444	2
445	1
446	1
447	1
448	1
449	0
450	2
451	1
452	1
453	0
454	0
455	1
456	2
457	2
458	2
459	2
460	1
461	1
462	2
463	2
464	2
465	1
466	2
467	1
468	2
469	2
470	0
471	2
472	2
473	2
474	2
475	2
476	0
477	1
478	1
479	2
480	0
481	2
482	0
483	2
484	0
485	2
486	1
487	1
488	2
489	2
490	1
491	2
492	0
493	2
494	1
495	0
496	1
497	2
498	1
499	1
500	2
501	0
502	1
503	2
504	2
505	2
506	2
507	0
508	2
509	0
510	1
511	1
512	2
513	1
514	2
515	2
516	0
517	0
518	1
519	0
520	2
521	1
522	1
523	2
524	1
525	2
526	1
527	0
528	0
529	0
530	1
531	0
532	2
533	2
534	1
535	2
536	0
537	0
538	1
539	0
540	1
541	1
542	0
543	1
544	1
545	2
546	1
547	1
548	2
549	0
550	0
551	2
552	2
553	0
554	2
555	1
556	1
557	2
558	2
559	0
